Fichiers avec écart important (|diff| > 3)
============================================================
Data_p005​_F8W1_3.csv: détectés=2, réels=10, diff=-8
Data_p006​_F8W1_2.csv: détectés=10, réels=14, diff=-4
Data_p007​_F8W1_2.csv: détectés=7, réels=11, diff=-4
Data_p008​_F8W1_2.csv: détectés=14, réels=18, diff=-4
Data_p011​_F8W1.csv: détectés=6, réels=11, diff=-5
Data_p011​_F8W1_2.csv: détectés=5, réels=11, diff=-6
Data_p011​_F8W1_3.csv: détectés=5, réels=11, diff=-6
Data_p011​_F8W2.csv: détectés=5, réels=9, diff=-4
Data_p011​_FO1_3.csv: détectés=12, réels=8, diff=+4
Data_p011​_FO2.csv: détectés=12, réels=8, diff=+4
Data_p011​_FO2_2.csv: détectés=13, réels=9, diff=+4
Data_p011​_FO2_3.csv: détectés=13, réels=9, diff=+4
Data_p011​_TUG1.csv: détectés=4, réels=9, diff=-5
Data_p011​_TUG1_3.csv: détectés=3, réels=8, diff=-5
Data_p015​_F8W1.csv: détectés=6, réels=11, diff=-5
Data_p015​_F8W1_3.csv: détectés=6, réels=10, diff=-4
Data_p015​_Marche.csv: détectés=23, réels=9, diff=+14
Data_p015​_TUG1.csv: détectés=6, réels=10, diff=-4
Data_p017​_Marche.csv: détectés=38, réels=11, diff=+27
Data_p020​_Marche_3.csv: détectés=18, réels=9, diff=+9
Data_p021​_Marche.csv: détectés=4, réels=10, diff=-6
Data_p022​_F8W1.csv: détectés=6, réels=12, diff=-6
Data_p022​_F8W1_3.csv: détectés=6, réels=11, diff=-5
Data_p022​_Marche.csv: détectés=28, réels=10, diff=+18
Data_p022​_TUG1_2.csv: détectés=6, réels=11, diff=-5
Data_p022​_TUG1_3.csv: détectés=5, réels=11, diff=-6
Data_p024​_TUG1.csv: détectés=6, réels=10, diff=-4
Data_p024​_TUG1_2.csv: détectés=5, réels=11, diff=-6
Data_p024​_TUG1_3.csv: détectés=5, réels=10, diff=-5
Data_p024​_TUG2.csv: détectés=36, réels=10, diff=+26
Data_p025​_TUG1.csv: détectés=3, réels=8, diff=-5
Data_p025​_TUG1_3.csv: détectés=4, réels=8, diff=-4
Data_p025​_TUG2.csv: détectés=30, réels=8, diff=+22
Data_p025​_TUG2_2.csv: détectés=19, réels=10, diff=+9
Data_p025​_TUG2_3.csv: détectés=21, réels=9, diff=+12
Data_p026​_F8W2_3.csv: détectés=5, réels=9, diff=-4
Data_p026​_Marche.csv: détectés=18, réels=9, diff=+9
Data_p026​_TUG1.csv: détectés=4, réels=10, diff=-6
Data_p026​_TUG1_3.csv: détectés=6, réels=10, diff=-4
Data_p030​_TUG1.csv: détectés=5, réels=10, diff=-5
Data_p030​_TUG1_2.csv: détectés=5, réels=9, diff=-4
Data_p030​_TUG1_3.csv: détectés=4, réels=10, diff=-6
Data_p031​_F8W2.csv: détectés=19, réels=11, diff=+8
Data_p031​_TUG1.csv: détectés=5, réels=9, diff=-4
Data_p031​_TUG1_3.csv: détectés=5, réels=9, diff=-4

Total: 45
